City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Olavarria,AR,-36.8927,-60.3225,81.0,67,73,5.99,broken clouds
112,Te Anau,NZ,-45.4167,167.7167,60.55,89,79,2.66,broken clouds
113,Russell,US,32.3502,-85.1999,66.2,55,90,11.5,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,6.91,broken clouds
115,Vao,NC,-22.6667,167.4833,77.13,77,24,12.44,few clouds
116,Ancud,CL,-41.8697,-73.8203,63.0,88,90,5.75,overcast clouds
117,Rabaul,PG,-4.1967,152.1721,82.33,77,61,8.66,broken clouds
118,Fortuna,US,40.5982,-124.1573,57.99,70,11,11.99,few clouds
119,Suwannaphum,TH,15.6035,103.8021,82.99,68,28,3.87,scattered clouds
120,Svetlyy,RU,54.675,20.1347,37.4,93,90,17.9,overcast clouds
121,Saquarema,BR,-22.92,-42.5103,78.8,83,40,10.36,scattered clouds
122,Brora,GB,58.0099,-3.8518,36.0,93,0,2.3,clear sky
123,Villa Rica,US,33.7321,-84.9191,57.99,88,100,5.99,overcast clouds
124,Dhidhdhoo,MV,6.8833,73.1,82.8,62,0,8.43,clear sky
125,Qaanaaq,GL,77.484,-69.3632,-14.73,75,100,3.11,overcast clouds
126,Zaliztsi,UA,49.7919,25.373,32.61,95,55,6.85,broken clouds
127,Sao Filipe,CV,14.8961,-24.4956,68.16,74,78,10.98,broken clouds
128,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,75,6.91,broken clouds
129,Castro,BR,-24.7911,-50.0119,65.07,92,64,6.51,broken clouds
130,Kirakira,SB,-10.4544,161.9205,83.19,74,50,6.6,scattered clouds
131,Lubango,AO,-14.9172,13.4925,60.31,81,72,4.34,broken clouds
132,Nocera Superiore,IT,40.7421,14.6729,54.0,47,0,5.01,clear sky
133,Flinders,AU,-34.5833,150.8552,64.0,88,86,11.36,overcast clouds
134,Thompson,CA,55.7435,-97.8558,3.2,43,90,10.36,light snow
135,Jalingo,NG,8.8833,11.3667,82.83,15,23,4.61,few clouds
136,Haines Junction,CA,60.7522,-137.5108,29.07,92,100,6.46,light snow
137,Clyde River,CA,70.4692,-68.5914,-13.0,58,90,12.66,overcast clouds
138,Mbour,SN,14.422,-16.9638,66.2,63,0,18.41,clear sky
139,Naze,JP,28.3667,129.4833,64.4,94,75,13.8,broken clouds
140,Maceio,BR,-9.6658,-35.7353,77.0,88,40,5.75,scattered clouds
141,Smithers,CA,54.7804,-127.1743,35.6,69,40,2.3,scattered clouds
142,Ati,TD,13.2154,18.3353,81.16,15,0,16.06,clear sky
143,Leningradskiy,RU,69.3833,178.4167,-20.11,95,97,3.91,overcast clouds
144,Gotsu,JP,35.0,132.2167,43.86,93,100,20.94,moderate rain
145,Yellowknife,CA,62.456,-114.3525,-2.0,46,40,11.5,scattered clouds
146,Taoudenni,ML,22.6783,-3.9836,70.36,21,0,9.78,clear sky
147,La Asuncion,VE,11.0333,-63.8628,75.43,78,0,12.5,clear sky
148,Codrington,AU,-38.2667,141.9667,56.37,57,100,13.4,overcast clouds
149,Srednekolymsk,RU,67.45,153.6833,-36.33,82,98,9.08,overcast clouds
150,Provideniya,RU,64.3833,-173.3,-7.89,82,100,19.15,overcast clouds
151,Karratha,AU,-20.7377,116.8463,78.98,59,100,19.53,overcast clouds
152,Qingdao,CN,36.0986,120.3719,28.99,93,0,4.47,clear sky
153,Qinzhou,CN,21.95,108.6167,59.23,61,92,18.79,light rain
154,Filadelfia,US,39.9523,-75.1638,46.99,42,75,21.85,broken clouds
155,Suntar,RU,62.1444,117.6319,-35.03,83,25,1.3,scattered clouds
156,Talcahuano,CL,-36.7167,-73.1167,75.2,57,0,16.11,clear sky
157,Veshenskaya,RU,49.6303,41.7334,29.28,92,99,8.88,overcast clouds
158,Muskegon,US,43.3,-86.1334,26.6,46,75,18.41,broken clouds
159,Gidole,ET,5.65,37.3667,69.01,36,79,7.2,broken clouds
160,Parintins,BR,-2.6283,-56.7358,73.63,96,100,1.79,overcast clouds
161,Yulara,AU,-25.2406,130.9889,75.2,31,5,6.91,clear sky
162,Sinegorye,RU,62.0788,150.477,-22.81,81,100,1.43,overcast clouds
163,Badoc,PH,17.9265,120.4764,73.4,100,20,2.3,few clouds
164,Gambiran,ID,-6.7988,111.4951,74.59,92,42,2.59,scattered clouds
165,Charters Towers,AU,-20.1,146.2667,74.8,83,100,16.69,overcast clouds
166,Wairoa,NZ,-39.0333,177.3667,73.0,62,65,4.0,broken clouds
167,Carnarvon,AU,-24.8667,113.6333,73.4,94,12,10.36,few clouds
168,Tiksi,RU,71.6872,128.8694,-32.55,85,96,2.57,overcast clouds
169,Bengkulu,ID,-3.8004,102.2655,76.87,82,100,3.27,overcast clouds
170,Belyy Yar,RU,53.6039,91.3903,-0.4,78,100,11.1,overcast clouds
171,Igarka,RU,67.4667,86.5833,-32.98,80,1,8.48,clear sky
172,Seoul,KR,37.5683,126.9778,33.8,80,90,6.91,overcast clouds
173,Chokurdakh,RU,70.6333,147.9167,-28.34,96,0,6.13,clear sky
174,Saint-Philippe,RE,-21.3585,55.7679,75.2,64,0,5.75,clear sky
175,Kapaa,US,22.0752,-159.319,75.2,60,20,20.71,light rain
176,Yumen,CN,40.2833,97.2,29.77,43,0,25.66,clear sky
177,Alihe,CN,50.5667,123.7167,-12.23,85,18,1.52,few clouds
178,Bow Island,CA,49.8668,-111.3684,43.0,56,100,19.57,overcast clouds
179,Ponta Do Sol,PT,32.6667,-17.1,59.0,67,40,4.61,scattered clouds
180,Southern Pines,US,35.174,-79.3923,63.0,82,1,3.44,clear sky
181,Ribeira Grande,PT,38.5167,-28.7,57.2,67,40,14.97,scattered clouds
182,Birao,CF,10.2849,22.7882,75.54,18,0,7.85,clear sky
183,Mumford,GH,5.2618,-0.759,80.44,86,40,9.17,scattered clouds
184,Waipawa,NZ,-41.4122,175.5153,72.0,64,75,20.71,broken clouds
185,Severo-Kurilsk,RU,50.6789,156.125,23.49,89,100,19.75,overcast clouds
186,Klaksvik,FO,62.2266,-6.589,44.6,100,75,2.3,fog
187,Salinopolis,BR,-0.6136,-47.3561,77.25,86,98,7.11,heavy intensity rain
188,Boyuibe,BO,-20.4167,-63.2833,87.8,45,20,2.1,few clouds
189,Boca Do Acre,BR,-8.7522,-67.3978,74.57,97,100,1.95,overcast clouds
190,Zhigansk,RU,66.7697,123.3711,-26.99,84,92,3.94,overcast clouds
191,Nikolskoye,RU,59.7035,30.7861,37.4,75,0,15.66,clear sky
192,Athabasca,CA,54.7169,-113.2854,39.2,56,100,5.75,light snow
193,Naron,ES,43.5167,-8.1528,55.0,100,75,2.3,broken clouds
194,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,68,75,6.91,broken clouds
195,Katherine,AU,-14.4667,132.2667,75.2,88,98,3.44,overcast clouds
196,Brae,GB,60.3964,-1.353,44.6,87,75,8.05,broken clouds
197,Bandarbeyla,SO,9.4942,50.8122,76.32,79,36,11.88,scattered clouds
198,Tari,NG,12.4086,4.4914,82.87,14,2,15.61,clear sky
199,Viedma,AR,-40.8135,-62.9967,88.48,37,87,1.45,overcast clouds
200,Lahat,ID,-3.8,103.5333,72.97,93,99,2.01,light rain
201,Ushtobe,KZ,45.2514,77.9838,33.53,57,100,0.96,overcast clouds
202,Dongning,CN,44.0622,131.1207,5.22,89,12,3.31,few clouds
203,Asau,RO,46.4333,26.4,37.4,93,90,5.75,overcast clouds
204,Aljezur,PT,37.3191,-8.8033,54.73,91,39,8.5,scattered clouds
205,Soyo,AO,-6.1349,12.3689,79.77,83,100,6.58,overcast clouds
206,Faanui,PF,-16.4833,-151.75,82.99,68,100,3.53,overcast clouds
207,Taseyevo,RU,57.2169,94.8978,-19.53,95,9,3.51,clear sky
208,Lata,PT,40.1629,-8.3327,57.0,86,78,1.68,broken clouds
209,Bredasdorp,ZA,-34.5322,20.0403,64.4,94,75,6.91,broken clouds
210,Victoria,HK,22.2855,114.1577,69.01,85,78,15.68,broken clouds
211,Mount Gambier,AU,-37.8333,140.7667,53.6,66,90,9.22,overcast clouds
212,Salta,AR,-24.7859,-65.4117,78.8,57,75,10.36,broken clouds
213,Tura,IN,25.5198,90.2201,67.48,23,0,3.83,clear sky
214,Vila Velha,BR,-20.3297,-40.2925,79.0,78,20,4.61,few clouds
215,Shelabolikha,RU,53.4131,82.6167,28.4,86,75,15.66,light snow
216,Lorengau,PG,-2.0226,147.2712,82.35,80,96,11.01,overcast clouds
217,Okahandja,NA,-21.9833,16.9167,64.99,82,66,1.14,broken clouds
218,New Norfolk,AU,-42.7826,147.0587,53.01,67,64,3.0,broken clouds
219,Fujin,CN,47.26,132.0322,-3.59,92,96,0.92,overcast clouds
220,Georgetown,MY,5.4112,100.3354,78.8,88,40,3.44,scattered clouds
221,Saint-Pierre,RE,-21.3393,55.4781,75.2,64,0,5.75,clear sky
222,Srandakan,ID,-7.9386,110.2506,78.06,80,99,3.13,overcast clouds
223,Kaitangata,NZ,-46.2817,169.8464,66.99,82,29,2.8,scattered clouds
224,Cabo San Lucas,MX,22.8909,-109.9124,82.99,56,40,10.36,scattered clouds
225,Port Blair,IN,11.6667,92.75,76.03,64,0,4.85,clear sky
226,Faya,SA,18.3851,42.4509,59.0,62,0,6.91,clear sky
227,Ayolas,PY,-27.4,-56.9,86.59,49,50,2.44,scattered clouds
228,Sassandra,CI,4.95,-6.0833,77.92,88,35,5.37,scattered clouds
229,Pareora,NZ,-44.4871,171.2132,68.0,94,2,6.73,clear sky
230,Laguna De Perlas,NI,12.3429,-83.6712,84.2,74,90,9.22,overcast clouds
231,Katsuura,JP,35.1333,140.3,61.0,94,75,10.36,mist
232,Road Town,VG,18.4167,-64.6167,78.8,61,40,17.27,scattered clouds
233,Vizinga,RU,61.0749,50.1031,28.04,98,100,11.56,snow
234,Bontang,ID,0.1333,117.5,78.19,84,97,3.85,overcast clouds
235,Tsiroanomandidy,MG,-18.7667,46.0333,68.27,91,100,4.54,light rain
236,Harper,LR,4.375,-7.7169,79.34,84,97,4.7,overcast clouds
237,Pisco,PE,-13.7,-76.2167,81.0,57,0,8.05,clear sky
238,Bilimbay,RU,56.9689,59.8149,-13.0,77,76,4.65,mist
239,Whitehorse,CA,60.7161,-135.0538,24.01,79,90,21.85,snow
240,Yanliang,CN,34.6592,109.2292,39.0,93,0,4.47,clear sky
