City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Itacoatiara,BR,72.84,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
392,Half Moon Bay,US,68.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
397,Yacuiba,BO,83.52,broken clouds,-22.038,-63.6797,Hotel Monumental
401,Esperance,AU,60.8,overcast clouds,-33.8667,121.9,Hospitality Esperance
405,Pacifica,US,66.2,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
409,Araguaina,BR,73.8,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
413,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
414,Itanhaem,BR,82.0,clear sky,-24.1831,-46.7889,Prainha Residência Artística
415,Chilca,PE,82.4,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
416,Arlit,NE,80.44,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
417,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
418,Kaeo,NZ,78.01,clear sky,-35.1,173.7833,Bushido Lodge
419,Plettenberg Bay,ZA,70.65,light rain,-34.0527,23.3716,Thanda Vista B&B
423,Samarai,PG,82.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
426,Atambua,ID,72.0,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
427,Chabahar,IR,69.35,clear sky,25.2919,60.643,هتل گدروشیا
428,Guarapuava,BR,63.54,overcast clouds,-25.3953,-51.4581,Küster Hotel | Guarapuava
430,Batemans Bay,AU,62.01,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
431,Ikwiriri,TZ,74.61,scattered clouds,-7.9562,38.9716,Greenland lodge
432,Xai-Xai,MZ,72.68,light rain,-25.0519,33.6442,Complexo da Familia
435,Canalete,CO,83.19,overcast clouds,8.6761,-76.2042,Gomez Hernandez
436,Pokhara,NP,60.49,clear sky,28.2333,83.9833,Butterfly Lodge
437,Huarmey,PE,77.04,few clouds,-10.0681,-78.1522,Hotel Miramar
438,Coihaique,CL,71.6,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
440,Aguimes,ES,64.4,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
441,Christchurch,NZ,73.4,scattered clouds,-43.5333,172.6333,The George
442,Tambura,SS,73.69,scattered clouds,5.6,27.4667,Rikito Lodge
446,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
454,Buala,SB,81.16,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
455,Butte,US,68.0,clear sky,39.6499,-121.5677,Meadowbrook Oak's RV and Mobile Home Park
459,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
461,Calama,CL,73.4,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
464,Kalmunai,LK,74.3,clear sky,7.4167,81.8167,VS Villa
465,Parit Raja,MY,75.2,few clouds,1.8681,103.1124,RG Grand Hotel
468,Aplahoue,BJ,81.34,broken clouds,6.9333,1.6833,Hotel ARNOGOS
472,Alyangula,AU,83.3,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
473,Sur,OM,71.31,clear sky,22.5667,59.5289,Sur Plaza Hotel
475,Chimoio,MZ,68.0,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
478,Madang,PG,77.14,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
480,Trairi,BR,79.12,broken clouds,-3.2778,-39.2689,janelas do mar
481,San Quintin,MX,65.12,clear sky,30.4833,-115.95,Old Mill Hotel
482,Kimbe,PG,80.31,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
483,Maxixe,MZ,74.25,overcast clouds,-23.8597,35.3472,Oceano
484,Pochutla,MX,90.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
486,Ahipara,NZ,71.62,clear sky,-35.1667,173.1667,Ahipara Holiday Park
487,Maningrida,AU,79.75,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
490,Lazaro Cardenas,MX,80.76,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
492,Bonthe,SL,79.32,clear sky,7.5264,-12.505,Bonthe Holiday Village
498,Sadat,IN,61.63,clear sky,25.6833,83.2833,Tuntun Niwas
502,Caravelas,BR,76.12,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
503,Buenos Aires,AR,80.01,few clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
505,Sinnamary,GF,76.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
509,Auki,SB,80.35,overcast clouds,-8.7676,160.7034,Auki Motel
512,Basco,PH,76.42,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
514,Bilma,NE,71.46,few clouds,18.6853,12.9164,Expeditions Ténére voyages
515,San Policarpo,PH,78.82,overcast clouds,12.1791,125.5072,JM Lodge
516,Jacareacanga,BR,72.46,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
520,Riohacha,CO,84.54,broken clouds,11.5444,-72.9072,Hotel Taroa
521,Barabai,ID,74.61,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
522,Acarau,BR,79.14,overcast clouds,-2.8856,-40.12,castelo pizzaria
524,Karimpur,IN,66.7,clear sky,23.9667,88.6167,gabrudanga jumma masjid
526,Shingu,JP,60.89,overcast clouds,33.7333,135.9833,Shingu UI Hotel
527,Dickinson,US,62.01,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
528,Mana,GF,76.46,clear sky,5.6592,-53.7767,LE SAMANA
529,Yeppoon,AU,80.6,scattered clouds,-23.1333,150.7333,Villa Mar Colina
530,El Tigre,VE,85.59,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
532,Voh,NC,81.68,broken clouds,-20.9667,164.7,Le gîte du Koniambo
533,Cidahu,ID,81.0,scattered clouds,-6.3113,106.0568,Pondok Pesantren Modern Darussalam Pandeglang
534,Najran,SA,73.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
535,Vryburg,ZA,63.41,clear sky,-26.9566,24.7284,Times Premier Lodge
536,Iracoubo,GF,75.79,few clouds,5.4802,-53.2011,Le Gite D Iracoubo
539,Abonnema,NG,84.2,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
542,Quatre Cocos,MU,78.8,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
543,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
546,Hualmay,PE,77.0,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
547,Kiboga,UG,70.81,light rain,0.9161,31.7742,Marie Lustenberger Guest House
548,Maraba,BR,80.6,light rain,-5.3686,-49.1178,Hotel Del Principe
549,Isla Mujeres,MX,84.2,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
552,Klungkung,ID,77.0,few clouds,-8.5333,115.4,Cegeng Lestari Guesthouse
557,Manokwari,ID,77.61,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
558,Cedeno,CO,84.09,overcast clouds,7.0464,-72.1634,BASE MILITAR DE GIBRALTAR
560,Bonito,BR,75.97,few clouds,-21.1211,-56.4819,Marruá Hotel
562,Senador Jose Porfirio,BR,74.46,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
563,Yanam,IN,67.87,clear sky,16.7333,82.2167,The Regency Hotel
564,Tabou,CI,78.8,broken clouds,4.423,-7.3528,hotêl doufoulougou
565,Cape Coast,GH,80.42,broken clouds,5.1053,-1.2466,Samrit Hotel
569,Riyadh,SA,62.6,clear sky,24.6877,46.7219,InterContinental Riyadh
574,Meulaboh,ID,76.86,broken clouds,4.1363,96.1285,Kost Pria
577,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
579,Parnamirim,BR,77.0,light rain,-5.9156,-35.2628,Pousada Joaci
580,Kota Belud,MY,73.4,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
581,Cabo Rojo,PR,80.01,broken clouds,18.0866,-67.1457,Hotel Perichi's
582,Port Macquarie,AU,77.0,clear sky,-31.4333,152.9167,Rydges Port Macquarie
586,Madingou,CG,75.18,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
587,Ray,IN,68.0,haze,23.6833,85.05,Bablu Cake Corner
590,Negara,ID,76.14,few clouds,-8.3151,114.6025,Villa Maya West Bali
591,Tairua,NZ,69.1,broken clouds,-37.0167,175.85,Pacific Harbour Villas
597,Altar,MX,73.0,clear sky,30.7,-111.8167,Hotel Maria Elena
598,Port Hedland,AU,80.6,light rain,-20.3167,118.5667,The Esplanade Hotel
601,Chicama,PE,73.4,fog,-7.8447,-79.1469,Hospedaje Punta Cana PERU
